UNIQUE,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,colour,,Text,TEST_COLUMN_TEXT,TEST_COLUMN_BOOL,TEST_COLUMN_EMPTY
1,7.4,0.7,Tommy,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,red,no heading,DO ,IT WOULD,true ,
2,7.8,0.88,Lee ,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,red,no heading,YOU LIKE,BE SO GOOD,false ,
3,7.8,0.76,Jones,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,red,no heading,WINE,BE SO GOOD,true ,
G,11.2,0.28,Is ,1.9,0.075,17,60,:-),3.16,0.58,9.8,6,red,no heading,IT WOULD,BE SO GOOD,false ,
5,7.4,0.7,Great,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,red, ,BE SO GOOD,be so good,true ,
6,n/a,0.66,In ,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,red,0,IF WE,true ,false ,
7,7.9,0.6,Volvao,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,red,gkhkjas,WERE,false ,true ,
8,7.3,0.65,,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,red,no heading,IN ,0.65,false ,
9,7.8,0.58, ,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,red,no heading,ITALY,0.58,true ,
F,7.5,0.5, ,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,red,no heading, BECAUSE  ,n/a,false ,
11,6.7,0.58, ,1.8,0.097,15,65,howierlkn,3.28,0.54,9.2,5,red,no heading,"that’s
would",howierlkn,true ,
12,7.5,0.5,But,6.1,0.071,17,102,765765876,3.35,0.8,10.5,5,red,no heading,BE SO GOOD,765765876,false ,
13,5.6,0.615,Tornado,1.6,0.089,16,59,%^&^%&^,3.58,0.52,9.9,5,red,no heading,italy,%^&^%&^,true ,
14,7.8,0.61,Is ,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,red,no heading,is wonderful,123,false ,
D,8.9,0.62,BETTER,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5,red,no heading,in the ,345,true ,
16,8.9,0.62,I,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5,red,no heading,spring,456,false ,
V,8.5,0.28,think,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7,red,no heading,as is most of europe. ,567,true ,
18,8.1,0.56,.,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5,red,no heading,It was a long time ago that we had holidays. ,98,false ,
19,7.4,0.59,.,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,red,no heading,"the world is chaos. This is a really long string to see whether long strings are an issue in the data set. Sometimesthe data we get as aalysis is soooo crap. It may have mising balues. NA errors, missing content or anyhing. Data may not e labelled and data entry is rife with mistakes. I love this course but it's tedious some times. hvang to problem solve code on a scren after staring at a compter screen day. Im going to suplicate this in the next cell to text cell lenth.",345,true ,
20,7.9,0.32,?,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,red,no heading,"the world is chaos. This is a really long string to see whether long strings are an issue in the data set. Sometimesthe data we get as aalysis is soooo crap. It may have mising balues. NA errors, missing content or anyhing. Data may not e labelled and data entry is rife with mistakes. I love this course but it's tedious some times. hvang to problem solve code on a scren after staring at a compter screen day. Im going to suplicate this in the next cell to text cell lenth.the world is chaos. This is a really long string to see whether long strings are an issue in the data set. Sometimesthe data we get as aalysis is soooo crap. It may have mising balues. NA errors, missing content or anyhing. Data may not e labelled and data entry is rife with mistakes. I love this course but it's tedious some times. hvang to problem solve code on a scren after staring at a compter screen day. Im going to suplicate this in the next cell to text cell lenth.the world is chaos. This is a really long string to see whether long strings are an issue in the data set. Sometimesthe data we get as aalysis is soooo crap. It may have mising balues. NA errors, missing content or anyhing. Data may not e labelled and data entry is rife with mistakes. I love this course but it's tedious some times. hvang to problem solve code on a scren after staring at a compter screen day. Im going to suplicate this in the next cell to text cell lenth.the world is chaos. This is a really long string to see whether long strings are an issue in the data set. Sometimesthe data we get as aalysis is soooo crap. It may have mising balues. NA errors, missing content or anyhing. Data may not e labelled and data entry is rife with mistakes. I love this course but it's tedious some times. hvang to problem solve code on a scren after staring at a compter screen day. Im going to suplicate this in the next cell to text cell lenth.the world is chaos. This is a really long string to see whether long strings are an issue in the data set. Sometimesthe data we get as aalysis is soooo crap. It may have mising balues. NA errors, missing content or anyhing. Data may not e labelled and data entry is rife with mistakes. I love this course but it's tedious some times. hvang to problem solve code on a scren after staring at a compter screen day. Im going to suplicate this in the next cell to text cell lenth.",13434645,false ,
